 Year ; Month ; Day ; FECHA completa ;Valor Neto; Margen ; Mar% ; Cantidad ; Costo Promedio ; Fecha con dia semana ; Semana del año ; DIA de la semana ; index 
2015;Enero;5;5/Enero/2015;23734138.00;$ 9,670,079.43;40.74%;38,807.00;$ 14,064,058.57;lunes, 5 de enero de 2015;2;lunes;1
2015;Enero;6;6/Enero/2015;27192866.00;$ 10,187,487.24;37.46%;31,688.00;$ 17,005,378.76;martes, 6 de enero de 2015;2;martes;2
2015;Enero;7;7/Enero/2015;26458269.00;$ 10,429,886.24;39.42%;47,650.00;$ 16,028,382.76;miércoles, 7 de enero de 2015;2;miércoles;3
2015;Enero;8;8/Enero/2015;37313509.83;$ 15,939,089.68;42.72%;35,077.00;$ 21,374,420.15;jueves, 8 de enero de 2015;2;jueves;4
2015;Enero;9;9/Enero/2015;46805518.00;$ 18,219,641.25;38.93%;55,103.00;$ 28,585,876.75;viernes, 9 de enero de 2015;2;viernes;5
2015;Enero;10;10/Enero/2015;513340.00;$ 145,073.15;28.26%;2,796.00;$ 368,266.85;sábado, 10 de enero de 2015;2;sábado;6
2015;Enero;12;12/Enero/2015;21898408.00;$ 8,700,454.15;39.73%;33,934.00;$ 13,197,953.85;lunes, 12 de enero de 2015;3;lunes;7
2015;Enero;13;13/Enero/2015;34215397.00;$ 13,071,684.62;38.20%;44,198.00;$ 21,143,712.38;martes, 13 de enero de 2015;3;martes;8
2015;Enero;14;14/Enero/2015;45176004.00;$ 18,390,652.05;40.71%;64,463.00;$ 26,785,351.95;miércoles, 14 de enero de 2015;3;miércoles;9
2015;Enero;15;15/Enero/2015;45078201.00;$ 15,216,405.15;33.76%;42,344.00;$ 29,861,795.85;jueves, 15 de enero de 2015;3;jueves;10
2015;Enero;16;16/Enero/2015;26187023.00;$ 10,576,002.65;40.39%;18,163.00;$ 15,611,020.35;viernes, 16 de enero de 2015;3;viernes;11
2015;Enero;19;19/Enero/2015;30560188.00;$ 12,625,463.77;41.31%;26,250.00;$ 17,934,724.23;lunes, 19 de enero de 2015;4;lunes;12
2015;Enero;20;20/Enero/2015;52382656.31;$ 19,411,828.77;37.06%;58,351.38;$ 32,970,827.54;martes, 20 de enero de 2015;4;martes;13
2015;Enero;21;21/Enero/2015;30225892.00;$ 12,019,349.98;39.77%;32,284.00;$ 18,206,542.02;miércoles, 21 de enero de 2015;4;miércoles;14
2015;Enero;22;22/Enero/2015;58440105.00;$ 20,044,236.41;34.30%;36,474.00;$ 38,395,868.59;jueves, 22 de enero de 2015;4;jueves;15
2015;Enero;23;23/Enero/2015;41559892.00;$ 15,793,681.13;38.00%;35,054.00;$ 25,766,210.87;viernes, 23 de enero de 2015;4;viernes;16
2015;Enero;24;24/Enero/2015;2482.00;$ 2,027.10;81.67%;4.00;$ 454.90;sábado, 24 de enero de 2015;4;sábado;17
